id,left_pattern,left_support,right_pattern,right_support,support,confidence,lift
0,ser żółty,0,418,mleko,0,434,0,194,0,464,1,069
1,jogurt naturalny,0,434,mleko,0,434,0,184,0,424,0,977
2,ryż brązowy,0,412,mleko,0,434,0,181,0,439,1,012
3,jajka,0,432,jogurt naturalny,0,434,0,180,0,417,0,960
4,jajka,0,432,chleb pełnoziarnisty,0,414,0,180,0,417,1,006
5,ziemniaki,0,401,mleko,0,434,0,178,0,444,1,023
6,ziemniaki,0,401,jajka,0,432,0,177,0,441,1,022
7,jabłka,0,407,jogurt naturalny,0,434,0,177,0,435,1,002
8,chleb pełnoziarnisty,0,414,mleko,0,434,0,177,0,428,0,985
9,ser żółty,0,418,jajka,0,432,0,176,0,421,0,975
10,ryż brązowy,0,412,chleb pełnoziarnisty,0,414,0,176,0,427,1,032
11,jabłka,0,407,ryż brązowy,0,412,0,175,0,430,1,044
12,ser żółty,0,418,jogurt naturalny,0,434,0,175,0,419,0,965
13,ser żółty,0,418,ogórki,0,396,0,172,0,411,1,039
14,ryż brązowy,0,412,jogurt naturalny,0,434,0,172,0,417,0,962
15,jajka,0,432,mleko,0,434,0,171,0,396,0,912
16,ser żółty,0,418,ryż brązowy,0,412,0,171,0,409,0,993
17,jajka,0,432,ryż brązowy,0,412,0,171,0,396,0,961
18,jabłka,0,407,mleko,0,434,0,170,0,418,0,962
19,ryż brązowy,0,412,ogórki,0,396,0,169,0,410,1,036
20,chleb pełnoziarnisty,0,414,jogurt naturalny,0,434,0,169,0,408,0,941
21,jabłka,0,407,jajka,0,432,0,167,0,410,0,950
22,banany,0,389,mleko,0,434,0,165,0,424,0,977
23,ziemniaki,0,401,jogurt naturalny,0,434,0,165,0,411,0,948
24,ziemniaki,0,401,chleb pełnoziarnisty,0,414,0,164,0,409,0,988
25,ser żółty,0,418,banany,0,389,0,163,0,390,1,002
26,jabłka,0,407,ser żółty,0,418,0,163,0,400,0,958
27,chleb pełnoziarnisty,0,414,ogórki,0,396,0,163,0,394,0,994
28,jabłka,0,407,chleb pełnoziarnisty,0,414,0,162,0,398,0,961
29,jogurt naturalny,0,434,ogórki,0,396,0,162,0,373,0,943
30,ogórki,0,396,mleko,0,434,0,162,0,409,0,943
31,jabłka,0,407,banany,0,389,0,160,0,393,1,011
32,ziemniaki,0,401,jabłka,0,407,0,160,0,399,0,980
33,ser żółty,0,418,chleb pełnoziarnisty,0,414,0,160,0,383,0,925
34,ziemniaki,0,401,ser żółty,0,418,0,159,0,397,0,949
35,chleb pełnoziarnisty,0,414,banany,0,389,0,158,0,382,0,981
36,jajka,0,432,banany,0,389,0,157,0,363,0,934
37,ziemniaki,0,401,ryż brązowy,0,412,0,156,0,389,0,944
38,ogórki,0,396,banany,0,389,0,156,0,394,1,013
39,jogurt naturalny,0,434,banany,0,389,0,156,0,359,0,924
40,jajka,0,432,ogórki,0,396,0,155,0,359,0,906
41,ziemniaki,0,401,ogórki,0,396,0,153,0,382,0,964
42,jabłka,0,407,ogórki,0,396,0,150,0,369,0,931
43,ryż brązowy,0,412,banany,0,389,0,149,0,362,0,930
44,ziemniaki,0,401,banany,0,389,0,146,0,364,0,936
